Player name ,Nation,Position,Squad,League,Age,Birth Year,Matches Played,Starts,Minutes Played,Per90,Goal,Assist,Goal n Assist,Goal n Penalty Kick,Expected Goal,NonPenalty Expected Goal,Expected Assisted Goal,Carries,Passes,Passes Received
Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,22-157,2000,26,23,"1,948",21.6,1.0,2.0,3.0,1.0,2.9,2.9,3.7,36.0,72.0,120.0
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19-214,2003,1,8,0.1, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35-181,1987,28,28,"2,520",28.0,1.0,1.0,2.0,1.0,1.8,1.8,0.4,20.0,147.0,5.0
Himad Abdelli,FRA,"MF,FW",Angers,Ligue 1,23-131,1999,20,14,"1,261",14.0,0.9,1.0,0.9,1.9,34.0,84.0,74.0,0.06,0.2,0.06
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23-002,2000,26,26,"2,336",26.0,1.0,1.0,2.0,1.0,0.8,0.8,1.5,28.0,140.0,37.0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30-055,1993,20,19,"1,551",17.2,0.4,1.0,1.0,3.0,8.0,1.1,1.4,0.02,10.0,0.06
Oliver Abildgaard,DEN,"MF,DF",Hellas Verona,Serie A,26-291,1996,4,78,0.9,0.1, ,0.1,1.0,3.0,0.0, , ,0.0, , 
Matthis Abline,FRA,FW,Auxerre,Ligue 1,20-000,2003,10,7,600,6.7,2.0,1.0,3.0,1.0,2.8,2.0,1.3,11.0,1.7,7.0
Matthis Abline,FRA,"FW,MF",Rennes,Ligue 1,20-000,2003,11,107,1.2,1.0,1.0,1.0,0.8,0.3,0.8,2.0,11.0,4.0, , 
Abner,BRA,DF,Betis,La Liga,22-305,2000,7,5,366,4.1,1.1,2.0,1.1,0.1,4.0,11.0,16.0, , , 
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,23-038,2000,28,23,"1,995",22.2,6.0,5.0,11.0,6.0,7.6,7.6,2.8,72.0,57.0,209.0
Tammy Abraham,ENG,FW,Roma,Serie A,25-177,1997,27,20,"1,743",19.4,6.0,3.0,9.0,6.0,9.5,9.5,2.9,27.0,39.0,100.0
