Playername,Nation,Position,Squad,League,Age,BirthYear,MatchesPlayed,Starts,MinutesPlayed,Per90,Goal,Assist,GoalnAssist,GoalnPenaltyKick,ExpectedGoal,NonPenaltyExpectedGoal,ExpectedAssistedGoal,Carries,Passes,PassesReceived
Brenden Aaronson,USA,"Midfielder, FORWARD",Leeds United,Premier League,22,2000,26,23,"1,948",21.6,1,2.0,3.0,1.0,2.9,2.9,3.7,36.0,72.0,120.0
Paxten Aaronson,USA,Midfielder,Eint Frankfurt,Bundesliga,19,2003,1,8,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,MAR,Defender,Reims,Ligue 1,35,1987,28,28,"2,520",28.0,1,1.0,2.0,1.0,1.8,1.8,0.4,20.0,147.0,5.0
Himad Abdelli,FRA,"Midfielder, FORWARD",Angers,Ligue 1,23,1999,20,14,"1,261",14.0,0,1.0,0.9,1.9,34.0,84.0,74.0,0.06,0.2,0.06
Salis Abdul Samed,GHA,Midfielder,Lens,Ligue 1,23,2000,26,26,"2,336",26.0,1,1.0,2.0,1.0,0.8,0.8,1.5,28.0,140.0,37.0
Laurent Abergel,FRA,Midfielder,Lorient,Ligue 1,30,1993,20,19,"1,551",17.2,0,1.0,1.0,3.0,8.0,1.1,1.4,0.02,10.0,0.06
Oliver Abildgaard,DEN,"Midfielder, Defender",Hellas Verona,Serie A,26,1996,4,78,0.9,0.1,0,0.1,1.0,3.0,0.0,0,0,0.0,0,0
Matthis Abline,FRA,Forward,Auxerre,Ligue 1,20,2003,10,7,600,6.7,2,1.0,3.0,1.0,2.8,2.0,1.3,11.0,1.7,7.0
Matthis Abline,FRA,"Forward,Midfielder",Rennes,Ligue 1,20,2003,11,107,1.2,1.0,1,1.0,0.8,0.3,0.8,2.0,11.0,4.0,0,0
Abner,BRA,Defender,Betis,La Liga,22,2000,7,5,366,4.1,1,2.0,1.1,0.1,4.0,11.0,16.0,0,0,0
Zakaria Aboukhlal,MAR,"Forward,Midfielder",Toulouse,Ligue 1,23,2000,28,23,"1,995",22.2,6,5.0,11.0,6.0,7.6,7.6,2.8,72.0,57.0,209.0
Tammy Abraham,ENG,Forward,Roma,Serie A,25,1997,27,20,"1,743",19.4,6,3.0,9.0,6.0,9.5,9.5,2.9,27.0,39.0,100.0
Christian Acella,ITA,Midfielder,Cremonese,Serie A,20,2002,1,15,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Acerbi,ITA,Defender,Inter,Serie A,35,1988,20,17,"1,605",17.8,0,1.0,1.0,3.0,23.0,0.6,1.2,0.03,17.0,0.06
Álvaro Aceves,ESP,Goalkeeper,Valladolid,La Liga,19,2003,1,13,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Achi,FRA,Forward,Nantes,Ligue 1,21,2002,2,36,0.4,0.1,0,0.2,3.0,1.0,2.0,0,0,0,0,0
Marcos Acuña,ARG,Defender,Sevilla,La Liga,31,1991,21,15,"1,328",14.8,2,1.0,3.0,2.0,0.9,1.0,0.9,31.0,3.3,81.0
Che Adams,SCO,Forward,Southampton,Premier League,26,1996,25,22,"1,873",20.8,5,3.0,8.0,5.0,5.9,5.9,2.8,14.0,30.0,96.0
Tyler Adams,USA,Midfielder,Leeds United,Premier League,24,1999,24,24,"2,156",24.0,0,6.0,1.0,0.1,19.0,1.5,136.0,0.0,0.06,0.06
