Player name ,Nation,Position,Squad,Compition,Age,Born year,Match played,Starts,MIn,90s,Goal,Assist,Goal + Assist,Goal+Penalty kick,Penalty Kick,Penalty Kick Attempted,Yellow Card,Red Card,Expected Goal,Non-penalty Expected Goal,Expected Assisted Goal,Non-penalty Expected Goal + Expected Assisted Goal,Progressive Carries,Progressive Passes,Progressive Passes Receive
Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,22-157,2000,26,23,"1,948",21.6,1,2,3,1,0,0,2,0,2.9,2.9,3.7,6.6,36,72,120
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19-214,2003,1,8,0.1,,,,,,0,0,,0,0,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35-181,1987,28,28,"2,520",28,1,1,2,1,0,0,3,0,1.8,1.8,0.4,2.2,20,147,5
Himad Abdelli,FRA,"MF,FW",Angers,Ligue 1,23-131,1999,20,14,"1,261",14,0.9,1,0.9,1.9,0,0,2.8,0,34,84,74,0.14,0.06,0.2,0.06
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23-002,2000,26,26,"2,336",26,1,1,2,1,0,0,4,0,0.8,0.8,1.5,2.3,28,140,37
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30-055,1993,20,19,"1,551",17.2,0.4,1,1,3,0,0,0.4,0,8,1.1,1.4,90,0.02,10,0.06
Oliver Abildgaard,DEN,"MF,DF",Hellas Verona,Serie A,26-291,1996,4,78,0.9,0.1,,0.1,1,3,0,0,,0,0,,,0,0,,
Matthis Abline,FRA,FW,Auxerre,Ligue 1,20-000,2003,10,7,600,6.7,2,1,3,1,0,0,1,,2.8,2,1.3,0.4,11,1.7,7
Matthis Abline,FRA,"FW,MF",Rennes,Ligue 1,20-000,2003,11,107,1.2,1,1,1,0.8,0.3,0,0,1,0,0.8,2,11,,4,,
Abner,BRA,DF,Betis,La Liga,22-305,2000,7,5,366,4.1,1.1,2,1.1,0.1,0,0,1.2,0,4,11,16,,,,
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,23-038,2000,28,23,"1,995",22.2,6,5,11,6,0,0,3,0,7.6,7.6,2.8,10.4,72,57,209
Tammy Abraham,ENG,FW,Roma,Serie A,25-177,1997,27,20,"1,743",19.4,6,3,9,6,0,0,1,0,9.5,9.5,2.9,12.3,27,39,100
Christian Acella,ITA,MF,Cremonese,Serie A,20-264,2002,1,15,0.2,,,,,,0,0,,0,0,0,0,0,0,0,0
Francesco Acerbi,ITA,DF,Inter,Serie A,35-046,1988,20,17,"1,605",17.8,0.6,1,1,3,0,0,0.6,0,23,0.6,1.2,76,0.03,17,0.06
Álvaro Aceves,ESP,GK,Valladolid,La Liga,19-245,2003,1,13,0.1,,,,,,0,0,,0,0,0,0,0,0,0,0
Mohamed Achi,FRA,FW,Nantes,Ligue 1,21-071,2002,2,36,0.4,0.1,0.1,0.2,3,1,0,0,,0,2,,,,,,
Marcos Acuña,ARG,DF,Sevilla,La Liga,31-151,1991,21,15,"1,328",14.8,2,1,3,2,0,0,8,0.22,0.9,1,0.9,2.4,31,3.3,81
Che Adams,SCO,FW,Southampton,Premier League,26-258,1996,25,22,"1,873",20.8,5,3,8,5,0,0,1,0,5.9,5.9,2.8,8.7,14,30,96
Tyler Adams,USA,MF,Leeds United,Premier League,24-042,1999,24,24,"2,156",24,0.1,6,1,0.1,0,0,1.4,0,19,1.5,136,20,0,0.06,0.06
Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29-309,1993,22,4,633,7,1,2,3,1,0,0,3,0,3.4,3.4,0.8,4.1,11,23,57
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25-185,1997,15,13,"1,185",13.2,1,1,1,2,0,0,0.2,0,0.2,0.2,40,1,7,0.08,0.08
Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,19-116,2003,5,107,1.2,2,0.1,0.1,0.1,3,0,0,1,0,1,,,0,,,
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21-069,2002,16,12,799,8.9,3,2,5,3,0,0,5,0,2.5,2.5,2,4.5,21,27,79
Amine Adli,FRA,"FW,MF",Leverkusen,Bundesliga,22-322,2000,17,9,923,10.3,2,2,4,2,0,0,1,0.35,2.4,1,2.4,1.2,31,3.6,34
Yacine Adli,FRA,"MF,FW",Milan,Serie A,22-242,2000,5,1,124,1.4,0.1,1,0.1,0.1,0,0,0.2,0,5,9,7,,,,
Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,26-081,1997,23,11,"1,011",11.2,1,1,1,3,0,0,1.1,0,1.1,0.5,1.6,32,10,60,0.09
Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,20-068,2003,16,5,605,6.7,1.3,2,1.3,0.1,0,0,1.5,0,18,6,44,,,,
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25-284,1997,21,19,"1,705",18.9,1.5,2,2,3,0,0,2,0,11,1.5,1.6,3.1,0.08,64,5
